FAMILY NAME,FIRST NAME,GENDER,BIRTH DATE,ADRESS,PHONE NUMBER,SOCIAL SEC NB,BANK ACCOUNT,HIRING DATE,CONTRACT,CONTRACT LENGTH (months),HOURS WORKED BY WEEK,HOURLY RATE,OVERTIME (hour),BONUS,FEES,TAX,LEAVE,POSITION,DEPARTMENT,GROUP,ACHIEVEMENTS,BLAME,SOCIAL BENEFITS,FORMATION
FUSTINONI,Laura,F,16/01/1995,1 rue Paris 11 222 PARIS,33618439208,2345678,mybankaccount123456789,01/01/2000,CDI,,35,70,10,70,0,55,0,developper,r&d,France,2,0,60,0
FUSTINONI,Julien,M,22/10/1992,1 rue Paris 11 222 PARIS,33618439209,1345678,mybankaccount123456790,02/01/2000,CDI,,35,120,7,50,40,55,0,engineer,r&d,France,1,0,60,1
LAGAFFE,Gaston,M,28/02/1957,13 rue des Boulettes 12 345 BELGIQUE,33613131313,1345699,wrongbankaccount123456,13/02/2013,CDD,12,35,30,0,0,144,11,5,assistant,r&d,France,0,27,55,1
INCONNU,Soldat,M,12/12/1996,18 rue des Paillettes 95550,33698754623,6512345,thisbankaccount65465465313,18/04/1994,CDI,,40,80,0,0,18,2,7,director,rh,France,1,1,0,0
REIGNOUX,Donald,M,20/06/1982,20 rue Voltaire 93100 Montreuil,33148444870,4565664,hisbankaccount987654321,18/02/2021,CDD,6,25,50,2,0,0,15,0,designer,design,France,5,0,0,0
ALOUA,Linda,F,18/02/1996,4 rue Cachant 95100 PARIS,33645235689,2131654,herbankaccount49748653789,01/01/2020,CDD,24,28,60,5,20,0,20,2,manager,r&d,France,10,2,20,1
LALANNE,Francis,M,19/02/1990,8 rue variété 95866 Toulouse,33645235690,2131655,whatbankaccount987654321,01/01/2020,CDD,42,35,70,10,0,0,22,2,designer,design,France,4,2,18,1
FANTOME,Danielle,F,01/01/1981,5 rue ghost 77000 Amity-Parc,33645235691,2131656,datbankaccoung89564318,18/02/2021,CDI,12,35,77,0,50,170,12,28,assistant,r&d,France,44,42,12,0
DENEUVE,Catherine,F,22/10/1943,20 avenue Rapp 75 007 PARIS,33645239691,2131657,thebankaccount4654564,18/02/2021,CDI,12,35,70,0,0,20,21,0,director,design,France,2,1,0,0
FORESTI,Florence,F,08/11/1973,14 Rue ELZEVIR 75003 PARIS,33645235693,2131658,otherbankaccount864531,18/02/2021,CDI,12,35,75,0,0,0,20,0,designer,design,France,4,0,0,1
