ID,FAMILY NAME,FIRST NAME,GENDER,BIRTH DATE,ADRESS,PHONE NUMBER,SOCIAL SEC NB,BANK ACCOUNT,HIRING DATE,CONTRACT,CONTRACT LENGTH (months),HOURS WORKED BY WEEK,HOURLY RATE,FORMATION
1,Mustermann,Erika,F,12/08/1964,8 rue vasistas 16123 BERLIN,49654321098,12345678910K,mein_bankkonto123,16/06/1996,Unbefristet,0,35,100,1
2,Schnitzer,Ferida,F,01/09/1995,18 rue dasisdas 16124 BERLIN,49654321012,12345678580K,mein_bankkonto321,16/06/2019,Unbefristet,0,35,100,0
3,Bach,Stephan,M,02/09/1995,4 rue Berlin 16123 BERLIN,49654321013,12345678580K,mein_bankkonto645,16/06/2020,Befristet,48,28,200,0
4,Hirsch,Marlene,F,03/09/1995,2 rue Agatha 45987 Thuringe,49654321014,12345678580K,mein_bankkonto564,16/06/1997,Unbrefristet,0,40,100,0
5,Jung,Ivonne,F,04/09/1995,3 rue Ivette 98765 Saxe,49654321015,12345678580K,mein_bankkonto127,16/06/1998,Unbrefristet,0,40,120,1
6,Schmidt,Dieter,M,01/09/1995,62 rue komik 25225 Sarre,49654321016,12345678580K,mein_bankkonto222,16/06/2019,Befristet,72,35,70,0
7,Schultz,Anneliese,F,02/09/1995,74 rue chose 21554 Hambourg,49654321017,12345678580K,mein_bankkonto111,16/06/2021,Befristet,12,35,220,1
8,Stern,Ulrich,M,03/09/1995,5 rue Kadic 13123 BERLIN,49654321018,12345678580K,mein_bankkonto898,16/06/2001,Unbrefristet,0,30,300,0
9,Strauss,Franz,M,04/09/1995,8 rue Kadic 13123 BERLIN,49654321019,12345678580K,mein_bankkonto333,16/06/2002,Unbrefristet,0,30,550,0
10,Manfred,Carl,M,01/10/1995,80 rue Detroit 37800 Saxe,49654321020,12345678580K,mein_bankkonto585,16/06/2003,Unbrefristet,0,35,50,1
